case_id,date,crime_type,district,latitude,longitude,offender_age,offender_gender,victim_age,victim_gender,time_of_day,season,prior_offenses,recidivism,severity_score,arrest_made,weapon_used,gang_related
CASE00001,2020-01-01,Burglary,Northwest,13.02077,77.694559,62,Male,70,Male,Afternoon,Spring,1,No,5.84,No,No,No
CASE00002,2020-01-01,Kidnapping,East,13.015323,77.696613,53,Male,64,Male,Evening,Winter,3,Yes,8.5,No,No,No
CASE00003,2020-01-01,Vandalism,Northwest,13.011753,77.598796,56,Male,76,Female,Morning,Spring,2,No,3.91,Yes,No,Yes
CASE00004,2020-01-01,Fraud,Southeast,12.974234,77.67387,22,Female,17,Female,Morning,Autumn,8,No,3.27,No,No,No
CASE00005,2020-01-02,Theft,Downtown,13.057129,77.647365,29,Male,49,Male,Evening,Spring,1,No,3.51,Yes,No,No
CASE00006,2020-01-02,Theft,Northeast,12.95056,77.600208,58,Male,68,Male,Night,Winter,2,Yes,9.54,Yes,Yes,No
CASE00007,2020-01-02,Theft,Downtown,13.087779,77.614552,63,Male,41,Male,Morning,Summer,6,No,4.23,No,No,No
CASE00008,2020-01-02,Homicide,Southwest,13.078797,77.527445,40,Female,16,Female,Afternoon,Winter,3,No,1.03,Yes,No,No
CASE00009,2020-01-03,Fraud,Northeast,12.967496,77.687532,47,Male,11,Female,Afternoon,Winter,5,Yes,8.04,No,No,No
CASE00010,2020-01-03,Vandalism,Southwest,13.045893,77.570386,53,Male,15,Male,Night,Winter,2,No,7.29,Yes,Yes,No
CASE00011,2020-01-03,Theft,West,13.014645,77.58923,37,Male,45,Female,Afternoon,Winter,0,No,2.16,No,Yes,No
CASE00012,2020-01-03,Kidnapping,Southeast,12.96753,77.634332,31,Female,41,Male,Morning,Winter,5,Yes,9.86,Yes,No,No
CASE00013,2020-01-04,Drug Offense,West,13.097704,77.56678,44,Unknown,54,Female,Night,Spring,3,Yes,6.47,Yes,No,No
CASE00014,2020-01-04,Assault,South,12.905047,77.550852,31,Male,51,Female,Morning,Spring,1,No,5.51,No,No,No
CASE00015,2020-01-04,Theft,Downtown,12.950529,77.62621,27,Male,62,Female,Night,Summer,6,No,4.44,Yes,Yes,No
CASE00016,2020-01-04,Theft,Southwest,13.004015,77.504997,32,Female,18,Female,Evening,Winter,9,Yes,9.09,No,No,No
CASE00017,2020-01-05,Assault,Central,13.004391,77.644145,52,Male,58,Female,Afternoon,Winter,4,Yes,3.2,Yes,No,No
CASE00018,2020-01-05,Robbery,West,13.017787,77.602805,42,Male,11,Female,Night,Summer,5,Yes,3.57,Yes,No,No
CASE00019,2020-01-05,Burglary,South,13.050335,77.621151,40,Female,76,Female,Evening,Summer,5,No,2.1,No,No,No
CASE00020,2020-01-05,Assault,North,13.024696,77.626376,28,Unknown,20,Male,Morning,Autumn,8,Yes,7.83,Yes,Yes,No
CASE00021,2020-01-06,Fraud,Northwest,13.020056,77.60541,23,Male,59,Male,Evening,Summer,1,Yes,6.36,Yes,No,No
CASE00022,2020-01-06,Theft,Northeast,12.910703,77.616507,20,Male,44,Male,Morning,Summer,5,No,6.48,No,Yes,No
CASE00023,2020-01-06,Assault,South,12.975306,77.636758,27,Male,24,Female,Night,Summer,8,No,2.97,No,No,No
CASE00024,2020-01-06,Burglary,Southeast,12.946411,77.650624,56,Male,40,Male,Night,Autumn,3,No,6.86,Yes,Yes,No
CASE00025,2020-01-07,Burglary,West,12.953074,77.64549,18,Female,71,Male,Afternoon,Spring,5,No,7.89,Yes,No,No
CASE00026,2020-01-07,Drug Offense,Southeast,13.010867,77.673923,50,Female,37,Male,Afternoon,Autumn,6,No,4.22,No,No,Yes
CASE00027,2020-01-07,Theft,Northwest,12.939901,77.537889,48,Female,34,Male,Night,Spring,0,No,8.21,No,No,No
CASE00028,2020-01-07,Robbery,Central,12.95879,77.58023,37,Male,34,Female,Morning,Summer,4,No,4.14,No,No,No
CASE00029,2020-01-08,Fraud,Downtown,12.947417,77.689559,59,Male,10,Female,Morning,Autumn,3,No,7.82,No,Yes,No
CASE00030,2020-01-08,Theft,Downtown,13.089701,77.579318,24,Male,68,Female,Night,Autumn,9,Yes,1.3,Yes,No,No
CASE00031,2020-01-08,Fraud,Southeast,13.088933,77.524974,56,Male,78,Female,Morning,Spring,1,No,5.96,No,No,No
CASE00032,2020-01-08,Theft,Southwest,13.021988,77.605089,33,Female,51,Female,Night,Autumn,1,No,9.73,No,No,No
CASE00033,2020-01-09,Theft,Central,13.084904,77.521898,44,Male,43,Female,Afternoon,Autumn,1,No,9.83,Yes,No,No
CASE00034,2020-01-09,Sexual Offense,Downtown,13.057163,77.540571,54,Male,75,Male,Morning,Winter,6,No,3.54,Yes,Yes,No
CASE00035,2020-01-09,Kidnapping,Central,13.01799,77.699664,42,Male,27,Female,Afternoon,Spring,3,No,4.97,Yes,No,No
CASE00036,2020-01-09,Drug Offense,South,12.901287,77.608273,51,Unknown,14,Male,Evening,Autumn,5,No,1.57,No,No,No
CASE00037,2020-01-10,Assault,Central,13.054503,77.556812,60,Female,29,Male,Afternoon,Autumn,6,No,8.86,Yes,No,No
CASE00038,2020-01-10,Theft,East,13.040498,77.698955,32,Female,75,Female,Evening,Summer,8,No,6.12,Yes,No,No
